Location_Type,Time_of_Day,Crowd_Density,Lighting,Police_Presence,Emergency_Services_Access,Past_Incidents,Weather,Safety_Level
Home,Night,High,Dim,Yes,Hard,1,Rainy,1
Office,Late_Night,Medium,Dark,No,Hard,5,Stormy,0
Home,Evening,Medium,Well_Lit,Yes,Hard,3,Foggy,1
Bus_Stop,Late_Night,Medium,Well_Lit,Yes,Hard,1,Clear,1
Highway,Evening,Low,Dark,No,Moderate,1,Foggy,0
School,Late_Night,High,Dim,Yes,Moderate,0,Clear,1
Public_Transport,Late_Night,Low,Well_Lit,No,Hard,5,Rainy,0
Home,Late_Night,Medium,Dark,No,Easy,0,Stormy,0
Highway,Night,Low,Dim,No,Moderate,5,Foggy,0
Market,Evening,High,Well_Lit,No,Moderate,5,Clear,1
Office,Evening,Low,Dark,Yes,Easy,0,Foggy,1
Mall,Evening,High,Well_Lit,No,Hard,1,Rainy,1
Home,Afternoon,Medium,Dark,Yes,Hard,4,Foggy,1
Park,Night,Low,Dark,Yes,Easy,5,Foggy,1
Street,Late_Night,Medium,Dim,Yes,Moderate,5,Clear,1
Office,Afternoon,Medium,Well_Lit,No,Easy,5,Stormy,1
Bus_Stop,Night,Low,Well_Lit,Yes,Hard,4,Clear,1
Highway,Evening,Low,Dark,Yes,Hard,2,Foggy,1
Park,Late_Night,High,Dim,Yes,Hard,2,Stormy,1
School,Evening,Low,Dim,No,Easy,5,Stormy,1
Home,Late_Night,Low,Dim,Yes,Hard,2,Foggy,1
Office,Evening,High,Dark,Yes,Moderate,1,Stormy,1
Office,Morning,High,Dark,Yes,Moderate,2,Clear,1
Highway,Night,Low,Dim,Yes,Hard,3,Foggy,1
Highway,Evening,Low,Well_Lit,Yes,Easy,4,Stormy,1
Mall,Morning,High,Well_Lit,No,Easy,4,Stormy,1
Home,Morning,High,Dark,No,Moderate,2,Clear,1
Highway,Late_Night,High,Dim,Yes,Easy,0,Rainy,1
School,Afternoon,High,Dim,No,Moderate,0,Foggy,1
Bus_Stop,Afternoon,Medium,Dark,No,Hard,3,Stormy,1
Highway,Late_Night,Low,Dim,No,Hard,2,Clear,0
Bus_Stop,Night,High,Dark,Yes,Easy,1,Rainy,1
School,Afternoon,Medium,Dim,No,Hard,5,Rainy,1
Office,Night,Medium,Dark,Yes,Moderate,2,Foggy,1
Highway,Morning,High,Dark,Yes,Easy,0,Clear,1
Public_Transport,Afternoon,Medium,Dark,Yes,Moderate,0,Foggy,1
Public_Transport,Evening,High,Well_Lit,No,Hard,0,Stormy,1
Bus_Stop,Afternoon,Low,Dim,Yes,Hard,4,Clear,1
Home,Night,High,Dark,Yes,Easy,5,Clear,1
Bus_Stop,Afternoon,Medium,Well_Lit,Yes,Hard,5,Stormy,1
School,Evening,High,Well_Lit,No,Moderate,0,Clear,1
Street,Evening,Low,Dark,Yes,Easy,4,Foggy,1
Mall,Night,Low,Well_Lit,No,Moderate,4,Foggy,0
Public_Transport,Afternoon,High,Well_Lit,Yes,Hard,5,Foggy,1
Market,Evening,Medium,Well_Lit,Yes,Hard,4,Stormy,1
Street,Evening,High,Well_Lit,No,Moderate,0,Foggy,1
Home,Late_Night,High,Dim,No,Hard,5,Stormy,0
Mall,Night,High,Dark,Yes,Easy,2,Stormy,1
Office,Evening,Low,Dark,No,Hard,2,Rainy,0
Mall,Afternoon,Medium,Dark,No,Easy,3,Rainy,1
Highway,Late_Night,Low,Dark,Yes,Easy,0,Stormy,1
Highway,Morning,Low,Dim,No,Easy,5,Stormy,1
Street,Afternoon,High,Dark,No,Moderate,3,Stormy,1
Park,Night,Low,Dark,Yes,Moderate,1,Rainy,1
Street,Night,High,Dark,Yes,Easy,3,Foggy,1
Mall,Evening,High,Dim,Yes,Easy,5,Rainy,1
Mall,Afternoon,Medium,Well_Lit,Yes,Hard,5,Foggy,1
Park,Morning,High,Dark,No,Moderate,5,Clear,1
Highway,Late_Night,Low,Dim,No,Moderate,0,Stormy,0
